[2020-11-02 11:20:23,779][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:25:38,123][http-nio-8081-exec-5][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException
[2020-11-02 11:27:42,663][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:27:42,668][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:27:42,669][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:27:42,675][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:27:42,675][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:27:42,676][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:27:42,679][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:27:42,680][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:27:42,680][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:28:10,091][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:28:10,160][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:28:10,193][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:28:10,328][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:28:10,341][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:28:10,353][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:28:10,415][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:28:10,428][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:28:10,441][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 15:58:42,602][http-nio-8081-exec-4][ERROR][com.shangshufang.apiservice.service.impl.UniversityExerciseKnowledgeChoiceServiceImpl:133] java.lang.ClassCastException: class com.shangshufang.apiservice.entity.UniversityExerciseKnowledgeChoiceOptionEntity cannot be cast to class com.shangshufang.apiservice.entity.ExerciseWarehouseKnowledgeChoiceQuestionOptionEntity (com.shangshufang.apiservice.entity.UniversityExerciseKnowledgeChoiceOptionEntity and com.shangshufang.apiservice.entity.ExerciseWarehouseKnowledgeChoiceQuestionOptionEntity are in unnamed module of loader 'app')
[2020-11-02 16:00:57,852][http-nio-8081-exec-7][ERROR][com.shangshufang.apiservice.service.impl.UniversityExerciseKnowledgeChoiceServiceImpl:133] java.lang.ClassCastException: class com.shangshufang.apiservice.entity.UniversityExerciseKnowledgeChoiceOptionEntity cannot be cast to class com.shangshufang.apiservice.entity.ExerciseWarehouseKnowledgeChoiceQuestionOptionEntity (com.shangshufang.apiservice.entity.UniversityExerciseKnowledgeChoiceOptionEntity and com.shangshufang.apiservice.entity.ExerciseWarehouseKnowledgeChoiceQuestionOptionEntity are in unnamed module of loader 'app')
[2020-11-02 16:02:06,458][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.service.impl.UniversityExerciseKnowledgeChoiceServiceImpl:133] java.lang.ClassCastException: class com.shangshufang.apiservice.entity.UniversityExerciseKnowledgeChoiceOptionEntity cannot be cast to class com.shangshufang.apiservice.entity.ExerciseWarehouseKnowledgeChoiceQuestionOptionEntity (com.shangshufang.apiservice.entity.UniversityExerciseKnowledgeChoiceOptionEntity and com.shangshufang.apiservice.entity.ExerciseWarehouseKnowledgeChoiceQuestionOptionEntity are in unnamed module of loader 'app')
